Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization
12,8652,2.999657,0.49355,36.494272,204,8484,3.001657,0.133897,3.607115,36,8448,2.996251,1.859286,0.600553,0.441299,0.879564
20,14660,3.000825,50.858326,216.100193,5195,14360,3.00036,1.726576,249.081865,4895,9465,2.999829,2.860296,0.975622,0.747224,0.986833
10,7330,2.992263,0.466412,74.588845,349,7020,2.998653,0.079085,0.984397,39,6981,3.001409,1.186257,0.507071,0.365073,0.728288
14,9506,2.998735,1.190732,21.952299,327,9478,3.002638,0.254215,19.671267,299,9179,3.0076,2.643543,0.658039,0.491224,0.959578
11,13176,2.997239,8.738693,204.521588,3668,13032,2.997688,1.088821,175.26406,3524,9508,2.995796,2.892999,0.912024,0.677493,0.990144
12,3485,2.996851,0.002952,12.019497,63,3435,2.990044,0.000252,1.74642,13,3422,3.001756,0.027429,0.241425,0.178174,0.35702
10,6900,2.995173,0.200969,5.832655,167,6790,3.002558,0.041035,15.241741,57,6733,2.997173,0.764339,0.477001,0.352946,0.701784
20,4844,2.999518,0.0288,1.191378,7,5096,3.012682,0.000921,26.588311,259,4837,3.002151,0.184138,0.336217,0.266073,0.504215
11,8217,2.998094,0.344917,47.249915,682,7557,2.99765,0.057913,0.811878,22,7535,3.004609,1.199074,0.569578,0.393028,0.786632
8,5792,3.000072,0.06287,2.438532,13,5912,2.999939,0.012733,10.897977,133,5779,2.994391,0.336768,0.402232,0.306993,0.601666
8,5760,3.006802,0.078851,62.154239,104,5688,2.993309,0.022727,0.467822,32,5656,2.99728,0.517276,0.400801,0.295312,0.589401
13,8520,2.998118,0.437982,16.818081,139,8424,2.998322,0.117239,7.273499,43,8381,3.002683,1.934706,0.59088,0.438505,0.874925
18,2744,2.997469,0,9.804609,36,2712,3.001223,0,18.078889,4,2708,3.014039,0.001766,0.190395,0.141308,0.283842
13,9230,3.001273,0.647691,4.707358,103,9711,3.001745,0.231343,44.911859,584,9127,2.997344,2.265773,0.63841,0.505375,0.951013
9,6453,3.002477,0.135092,7.592586,67,6507,2.998844,0.023079,6.009931,121,6386,2.985843,0.528024,0.447037,0.338599,0.663391
