Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
19,9272,386,9.008858,143.317604,0,236.059838,0.99998,0.74588,0.996035,,,,,,,,,,,,
9,922,38,9.031001,0,0,0.003995,0.12787,0.096784,0.192173,,,,,,,,,,,,
17,8432,351,8.980815,110.88509,0.000071,240.276141,0.999999,0.746954,0.996124,,,,,,,,,,,,
12,6266,261,9.006786,6.313204,0.000017,178.046596,0.86773,0.649547,0.995944,,,,,,,,,,,,
7,3136,131,9.008814,0.420528,0.00005,1.386191,0.436772,0.326793,0.65087,,,,,,,,,,,,
5,2850,119,8.996366,0.218992,0.000025,0.941714,0.394757,0.296573,0.591117,,,,,,,,,,,,
16,932,39,8.988928,0,0,0.001414,0.129129,0.096503,0.191837,,,,,,,,,,,,
9,4590,191,9.008812,1.458263,0.000025,15.521092,0.635642,0.474098,0.941281,,,,,,,,,,,,
4,2690,112,8.994455,0.102323,0,0.600989,0.371242,0.278416,0.558051,,,,,,,,,,,,
3,1419,59,8.988678,0.000481,0,0.029838,0.196973,0.147462,0.294827,,,,,,,,,,,,
1,495,21,9.001658,0,0,0,0.068942,0.051031,0.103166,,,,,,,,,,,,
20,9420,393,8.982763,182.915616,0.000062,237.471925,0.999999,0.748289,0.996057,,,,,,,,,,,,
18,8190,341,9.01123,89.57336,0.00004,231.711537,0.992402,0.742271,0.994533,,,,,,,,,,,,
11,484,20,9.023665,0,0,0,0.06782,0.050209,0.100801,,,,,,,,,,,,
13,5564,232,8.997846,4.170909,0.00001,81.507458,0.762019,0.56819,0.991544,,,,,,,,,,,,
7,3668,153,9.000874,0.60786,0.000076,4.954505,0.508514,0.378916,0.755395,,,,,,,,,,,,
18,4212,176,8.991257,1.141023,0.000052,6.068069,0.582665,0.436838,0.870536,,,,,,,,,,,,
17,8381,349,8.99957,113.740882,0.000205,238.024517,0.999999,0.748328,0.995947,,,,,,,,,,,,
2,1840,77,9.00547,0.012652,0,0.142778,0.256124,0.191014,0.381235,,,,,,,,,,,,
4,2032,85,9.011329,0.03973,0,0.205294,0.28249,0.211942,0.421186,,,,,,,,,,,,
8,3520,147,8.986222,0.492399,0.000006,2.478999,0.48889,0.36528,0.725756,,,,,,,,,,,,
5,2590,108,9.028146,0.131595,0,0.520603,0.362263,0.27107,0.538277,,,,,,,,,,,,
9,2375,99,8.992774,0.07709,0,0.351789,0.329276,0.245131,0.492141,,,,,,,,,,,,
6,7837,327,8.990807,55.197145,0,238.172337,0.999984,0.745468,0.996081,,,,,,,,,,,,
11,1924,80,9.005331,0.015448,0,0.104138,0.268653,0.197975,0.398371,,,,,,,,,,,,
2,1024,43,8.975803,0,0,0.001964,0.141031,0.10635,0.21175,,,,,,,,,,,,
12,5832,243,9.004749,5.333141,0.000128,164.784353,0.807132,0.603367,0.987524,,,,,,,,,,,,
18,2814,117,9.002685,0.142632,0,0.555744,0.390671,0.291493,0.586555,,,,,,,,,,,,
4,4763,198,8.98873,1.853441,0.000012,15.815145,0.658342,0.493123,0.973,,,,,,,,,,,,
17,7820,326,9.007543,54.098669,0.000135,210.089981,0.973252,0.727894,0.99594,,,,,,,,,,,,
15,6960,290,8.986023,16.3945,0.000093,216.677242,0.963573,0.720215,0.992237,,,,,,,,,,,,
15,6960,290,8.995272,14.72311,0.00001,236.84178,0.961433,0.718128,0.994019,,,,,,,,,,,,
18,5093,212,8.993478,2.250186,0.00001,77.129652,0.705661,0.526592,0.983382,,,,,,,,,,,,
7,3395,141,9.001029,0.405876,0,2.246773,0.47117,0.35081,0.697705,,,,,,,,,,,,
2,924,39,9.028481,0,0,0.003613,0.12775,0.096208,0.191725,,,,,,,,,,,,
14,6734,281,9.014627,9.860697,0.000069,188.596188,0.928824,0.696945,0.994524,,,,,,,,,,,,
4,1892,79,8.996459,0.019035,0,0.13431,0.261956,0.195656,0.390189,,,,,,,,,,,,
4,2012,84,8.995762,0.030345,0,0.182683,0.279044,0.209486,0.418729,,,,,,,,,,,,
18,7794,325,9.002558,68.69455,0.000019,236.093436,0.997116,0.744247,0.995129,,,,,,,,,,,,
12,6024,251,9.000273,5.006913,0.000029,168.389005,0.833218,0.624063,0.995896,,,,,,,,,,,,
12,6300,263,8.998929,11.172901,0.000081,181.905663,0.872861,0.651882,0.993004,,,,,,,,,,,,
12,5448,227,8.993197,3.430091,0.000056,92.444507,0.74867,0.560127,0.9942,,,,,,,,,,,,
11,5269,220,8.986938,2.843201,0.000014,77.554959,0.729558,0.546826,0.993471,,,,,,,,,,,,
